GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
太鼓达人 Wii U,太鼓の達人 Wii Uば～じょん！,"wiiu, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,
Q立方,Q.U.B.E,"ps4, xb1, pc, wiiu, ",Toxic Games,Grip Games,2011-12-16,false,2011-12-16,false,,,,,,,,,,,,
机动战士高达战记U.C.0081,機動戦士ガンダム戦記 MOBILE SUIT GUNDAM BATTLEFIELD RECORD U.C.0081,"ps3, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,
海豹突击队3,SOCOM 3: U.S. Navy SEALs,"ps2, ",Zipper Interactive,Sony Interactive Entertainment,,,,,,,,,,,,,,,,
怪物猎人：边境G6,Monster Hunter: Frontier G6,"pc, wiiu, psv, ps3, x360, ",CAPCOM,CAPCOM,2014-11-19,false,,,,,,,,,,,,,2014-11-19,false
怪物猎人4G,モンスターハンター 4G,"3ds, ",CAPCOM,CAPCOM,,,,,,,,,,,,,2014-10-11,false,,
怪物猎人：边境G5,Monster Hunter: Frontier G5,"pc, wiiu, psv, ps3, x360, ",CAPCOM,CAPCOM,2014-07-23,false,,,,,,,,,,,,,2014-07-23,false
怪物猎人：边境G Genuine,Monster Hunter: Frontier G Genuine,"pc, wiiu, psv, ps3, x360, ",CAPCOM,CAPCOM,2014-04-23,false,,,,,,,,,,,,,2014-04-23,false
怪物猎人：边境G,Monster Hunter: Frontier G,"pc, wiiu, psv, ps3, x360, ",CAPCOM,CAPCOM,2013-12-11,false,,,,,,,,,,,,,2013-12-11,false
怪物猎人3G,モンスターハンター 3G,"wiiu, 3ds, ",CAPCOM,CAPCOM,,,,,,,,,,,,,2011-12-10,false,,
怪物猎人日记 暖洋洋的猫猫村G,モンハン日记 ぽかぽかアイルー村G,"psp, ",CAPCOM,CAPCOM,,,,,,,,,,,,,,,,
怪物猎人G,モンスターハンターG,"wii, ",CAPCOM,CAPCOM,,,,,,,,,,,,,,,,
.hack//G.U. Last Recode,,"ps4, pc, ",CyberConnect2,Bandai Namco,2017-11-01,false,2017-11-01,false,,,,,,,,,,,,
.hack//G.U. Vol.3 漫步之速,.hack//G.U. Vol.3 歩くような速さで ,"ps2, ",CyberConnect2,Bandai Namco,,,,,,,,,,,,,,,,
.hack//G.U. Vol.1 再生,.hack//G.U. Vol.1 再誕,"ps2, ",CyberConnect2,Bandai Namco,,,,,,,,,,,,,,,,
爆破方块U!,BrickBlast U!,"wiiu, ",Nexis Games,Nexis Games,,,,,,,,,,,,,,,,
.hack//Link,.hack//Link,"psp, ",CyberConnect2,Bandai Namco,,,,,,,,,,,,,,,,
新超级马力欧兄弟U 豪华版,New Super Mario Bros. U Deluxe,"ns, ",Nintendo,Nintendo,,,,,,,,,,,,,,,,
最后生还者 第二部,The Last of Us Part II,"ps4, ",Naughty Dog,Sony Interactive Entertainment,,,最早发售 2020-06-19,true,,,,,,,,,,,,
Wii Fit U,Wii Fit U,"wiiu, ",Ganbarion,Nintendo,,,,,,,,,,,,,,,,
黑客网络,Hacknet,"pc, ",Team Fractal Alligator,Surprise Attack,2015-08-13,false,,,,,,,,,,,,,,
班特利的背包,Bentley's Hackpack,"psv, ps3, ",Sanzaru Games,Sony Interactive Entertainment,,,,,,,,,,,,,,,2013-02-05,false
恶魔召唤师：灵魂黑客,Shin Megami Tensei: Devil Summoner: Soul Hackers,"3ds, ",Atlus,Atlus,,,,,,,,,,,,,2012-08-30,false,,
