GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
孤岛危机 重制版 三部曲合集,Crysis Remastered Trilogy,"xsx|s, ps5, ns, ps4, xb1, ",Crytek,Crytek,,,最早发售 2021-秋季,false,最早发售 2022-秋季,false,,,,,,,,,,
愤怒的小鸟 三部曲,Angry Birds Trilogy,"wiiu, 3ds, ps3, x360, wii, ",Rovio Entertainment,Activision,,,,,,,,,,,,,2012-09-25,false,,
愤怒的小鸟：星球大战,Angry Birds Star Wars,"ps4, xb1, pc, wiiu, psv, 3ds, ps3, x360, wii, ",Rovio Entertainment,Activision,2013-11-15,false,2013-11-15,false,,,,,,,,,2013-11-15,false,2013-11-15,false
愤怒的小鸟 进化,Angry Birds Evolution,"ios, ",Chimera Entertainment,Rovio Entertainment,,,,,,,,,,,,,,,,
愤怒的小鸟 爆破,Angry Birds Blast!,"ios, ",Rovio Entertainment,Rovio Entertainment,,,,,,,,,,,,,,,,
小龙斯派罗 重燃三部曲,Spyro Reignited Trilogy,"ns, ps4, xb1, ",Toys For Bob,Activision,,,最早发售 2018-11-13,false,,,,,,,,,,,,
古惑狼 疯狂三部曲,Crash Bandicoot N. Sane Trilogy,"ns, ps4, xb1, pc, ",Vicarious Visions,Activision,2017-06-29,false,2017-06-29,false,,,,,,,,,,,,
僵尸部队三部曲,Zombie Army Trilogy,"ns, ps4, xb1, ",Rebellion,Rebellion,,,最早发售 2015-03-03,true,,,,,,,,,,,,
混沌之戒3：前篇三部曲,Chaos Rings III: The Prequel Trilogy,"psv, ",Media.Vision,Square Enix,,,,,,,,,,,,,,,2014-01-16,false
瑞奇与叮当三部曲,Ratchet & Clank Trilogy,"psv, ps3, ",Mass Media Games,Sony Interactive Entertainment,,,,,,,,,,,,,,,2012-08-28,false
细胞分裂 三部曲 高清版,Tom Clancy's Splinter Cell Classic Trilogy HD,"ps3, ",Ubisoft,Ubisoft,,,,,,,,,,,,,,,,
银河战士Prime 三部曲,Metroid Prime Trilogy ,"wii, ",Nintendo,Nintendo,,,,,,,,,,,,,,,,
炼金工房 ～不可思议之炼金术士三部曲～ DX,アトリエ ～不思議の錬金術士トリロジー～ DX,"ns, ps4, ",Gust Co. Ltd.,Koei Tecmo,,,最早发售 2021-04-22,true,,,,,,,,,,,,
