GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
虹吸战士 黑镜,Syphon Filter: Dark Mirror,Bend Studio,Sony Interactive Entertainment,,,,,,,,,,,,,,,,,"psp, "
黑镜,Black Mirror,King Art Games,THQ Nordic,,,,,,,,,,,,,,,,,"ps4, xb1, "
杀手蜂后 黑,Killer Queen Black,BumbleBear,Liquid Bit,,,,,,,,,,,,,,,,,"ns, "
宝可梦 黑/白,ポケットモンスター ブラック・ホワイト,Game Freak,The Pokémon Company,,,,,,,,,,,,,,,,,"nds, "
黑煞,Black,Criterion Games,EA,,,,,,,,,,,,,,,,,"ps2, "
龙背上的骑兵2 封印之红 背德之黑,ドラッグオンドラグーン2 封印の紅、背徳の黒,Cavia,Square Enix,,,,,,,,,,,,,,,,,"ps2, "
蝙蝠侠：侠影之谜,Batman Begins,Eurocom,EA,,,,,,,,,,,,,,,,,"ps2, "
蝙蝠侠：阿克汉姆骑士,Batman: Arkham Knight,Rocksteady Studios,Warner Bros. Games,,,,,,,,,,,,,,,,,"ps4, xb1, "
传送门 桥梁建造者,Bridge Constructor Portal,ClockStone,Headup Games,,,,,,,,,,,,,,,,,"ns, "
传送门骑士,Portal Knights,Keen Games,505 Games,,,,,,,,,,,,,,,,,"ns, "
传送门2,Portal 2,Valve,Valve,2011-04-19,false,,,,,,,,,,,,,,,"pc, "
传送门,Portal,Valve,Valve,2007-10-10,false,,,,,,,,,,,,,,,"pc, "
 加油！大盗五右卫门！东海道中 大江户天狗归还之卷,がんばれゴエモン 東海道中 大江戸天狗り返しの巻,Konami,Konami,,,,,,,,,,,,,,,,,"nds, "
别敲两次门,Don't Knock Twice,Wales Interactive,Wales Interactive,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
最后的门,The Last Door,The Game Kitchen,Phoenix Online Publishing,,,,,,,,,,,,,,,,,"ns, ps4, xb1, "
碧海黑帆,Skull and Bones,Ubisoft,Ubisoft,,,,,,,,,,,,,,,,,"ps4, xb1, "
刺客信条4：黑旗,Assassin's Creed IV: Black Flag,Ubisoft,Ubisoft,,,,,,,,,,,,,,,,,"ns, ps4, xb1, pc, wiiu, ps3, "
怒首領蜂 大往生 黑标 EXTRA,怒首領蜂 大往生 ブラックレーベル EXTRA,5pb.,5pb.,,,,,,,,,,,,,,,,,"x360, "
蝙蝠侠：阿克汉姆起源 黑门,Batman: Arkham Origins Blackgate,Armature Studio,Warner Bros. Games,2013-10-25,false,,,,,,,,,,,,,,,"pc, "
蝙蝠侠：阿克汉姆起源,Batman: Arkham Origins,Warner Bros. Games,Warner Bros. Games,2013-10-25,false,,,,,,,,,,,,,,,"pc, "
蝙蝠侠：内部敌人,Batman: The Enemy Within,Telltale Games,Telltale Games,,,2017-08-08,false,,,,,,,,,,,,,"ps4, "
蝙蝠侠：重返阿克汉姆,Batman: Return to Arkham,Rocksteady Studios,Warner Bros. Games,,,2016-10-18,false,,,,,,,,,,,,,"ps4, "
蝙蝠侠：阿克汉姆VR,Batman: Arkham VR,Rocksteady Studios,Warner Bros. Games,,,2016-10-13,false,,,,,,,,,,,,,"ps4, "
蝙蝠侠,Batman - The Telltale Series,Telltale Games,Telltale Games,,,,,,,,,,,,,,,,,"ns, "
乐高蝙蝠侠3：飞跃哥谭市,Lego Batman 3: Beyond Gotham,TT Games,Warner Bros. Games,,,2014-11-11,false,,,,,,,,,,,,,"ps4, "
蝙蝠侠 阿克汉姆城 重装上阵版,Batman: Arkham City Armored Edition,Rocksteady Studios,Warner Bros. Games,,,,,,,,,,,,,,,,,"wiiu, "
乐高蝙蝠侠2：DC超级英雄,Lego Batman 2: DC Super Heroes,Traveller's Tales,Warner Bros. Games,2012-06-19,false,,,,,,,,,,,,,,,"pc, "
蝙蝠侠 阿克汉姆城,Batman:Arkham City,Rocksteady Studios,Warner Bros. Games,,,,,,,,,,,,,,,,,"ps3, "
蝙蝠侠 阿克汉姆疯人院,Batman: Arkham Asylum,Rocksteady Studios,Eidos,,,,,,,,,,,,,,,,,"ps4, xb1, pc, ps3, "
乐高蝙蝠侠,Lego Batman,Warner Bros. Games,Warner Bros. Games,,,,,,,,,,,,,,,,,"ps3, "
