GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
地下城3,Dungeons 3,"ps4, xb1, ",Realmforge Studios,Kalypso Media,,,最早发售 2017-10-13,true,,,,,,,,,,,,
AI地下城,AI Dungeon,"pc, ios, ",Latitude,Latitude,最早发售 2019-12-05,false,,,,,,,,,,,,,,
我的世界：地下城,Minecraft Dungeons,"ns, ps4, xb1, ",Double Eleven,Microsoft,,,最早发售 2020-05-26,false,,,,,,,,,,,,
传说之下,Undertale,"ns, ps4, xb1, pc, ",Toby Fox,Toby Fox,最早发售 2015-09-15,false,最早发售 2015-09-15,false,,,,,,,,,,,,
龙与地下城战略版,Dungeons & Dragons Tactics,"psp, ",Kuju Entertainment,Atari,,,,,,,,,,,,,,,,
托尼·霍克的地下滑板REMIX2,Tony Hawk's Underground 2: Remix,"psp, ",Shaba Games,Activision,,,,,,,,,,,,,,,,
极品飞车 地下狂飙2,Need for Speed: Underground 2,"pc, psp, nds, ps2, xbox, ",EA,EA,2004-11-09,false,,,,,,,,,,,,,,
极品飞车 地下狂飙,Need for Speed：Underground,"pc, ps2, xbox, ",EA,EA,2003-11-17,false,,,,,,,,,,,,,,
在地下城寻求邂逅是否搞错了什么 无限战斗,ダンジョンに出会いを求めるのは間違っているだろうか インフィニト・コンバーテ,"ns, ps4, pc, ",MAGES.,MAGES.,最早发售 2019-11-28,false,最早发售 2019-11-28,true,,,,,,,,,,,,
龙与地下城 黑暗联盟,Dungeons & Dragons: Dark Alliance,"xsx|s, ps5, ps4, xb1, ",Tuque Games,Wizards of the Coast,,,最早发售 2021-06-22,true,最早发售 2021-06-22,true,,,,,,,,,,
无尽地下城,ENDLESS Dungeon,"xsx|s, ps5, ns, ps4, xb1, ",Amplitude Studios,SEGA,,,最早发售 发售日未定,false,最早发售 发售日未定,false,,,,,,,,,,
地下城2,Dungeons 2,"ps4, ",Realmforge Studios,Kalypso Media,,,最早发售 2016-05-24,true,,,,,,,,,,,,
地下城,Dungeons,"pc, ",Realmforge Studios,Kalypso Media,最早发售 2011-01-27,false,,,,,,,,,,,,,,
男友地下城,Boyfriend Dungeon,"ns, ",Kitfox Games,Kitfox Games,,,,,,,,,,,,,,,,
地下城公会,Guild of Dungeoneering,"pc, ios, ",Gambrinous,Gambrinous,最早发售 2015-07-15,false,,,,,,,,,,,,,,
地下世界 崛起,Underworld Ascendant,"ps4, xb1, ",OtherSide Entertainment,505 Games,,,最早发售 2019-06-20,true,,,,,,,,,,,,
地下,Below,"ps4, xb1, ",Capybara Games,Microsoft,,,最早发售 2020-04-07,false,,,,,,,,,,,,
卢弗兰的地下迷宫与魔女旅团,ルフランの地下迷宮と魔女ノ旅団,"ns, ps4, pc, psv, ",日本一,日本一,2016-06-23,false,2016-06-23,false,,,,,,,,,,,2016-06-23,false
死在迷宫地下,メイQノ地下二死ス,"psv, ",Compile Heart,Compile Heart,,,,,,,,,,,,,,,2015-12-17,false
加雷利亚的地下迷宫与魔女旅团,ガレリアの地下迷宮と魔女ノ旅団,"ns, ps4, ",日本一,日本一,,,最早发售 2020-11-26,false,,,,,,,,,,,,
地下城与勇士 M,,"ios, android, ",Neople,腾讯游戏,,,,,,,,,,,,,,,,
热血物语：地下世界,River City Ransom: Underground,"pc, ",Conatus Creative,Conatus Creative,2017-02-27,false,,,,,,,,,,,,,,
不思议迷宫,地下城物语,"ios, android, ",青瓷数码,雷霆游戏,,,,,,,,,,,,,,,,
地下城与机器人,Dungeons & Robots,"pc, ",Glow Games Studio,Glow Games Studio,2016-02-29,false,,,,,,,,,,,,,,
地下室爬行者,Basement Crawl,"ps4, ",Bloober Team,Bloober Team,,,2014-02-25,false,,,,,,,,,,,,
尼特的故事 地下探险,Knytt Underground,"pc, wiiu, psv, ps3, ",Nifflas Games,Ripstone,2013-12-19,false,,,,,,,,,,,,,2013-12-19,false
龙与地下城：秘影历代记 HD,Dungeons & Dragons: Chronicles of Mystara,"pc, wiiu, ps3, x360, ",Iron Galaxy,CAPCOM,2013-09-05,false,,,,,,,,,,,,,,
古墓丽影 地下世界,Tomb Raider: Underworld,"pc, ps3, x360, wii, nds, ps2, ",Crystal Dynamics,Eidos,2008-11-18,false,,,,,,,,,,,,,,
