userID,game,date,平台
UNIVERSTRAVEL78,Portal,2007-12-23,
semi_dr_atota,Hey! Pikmin,2017-08-13,
semi_dr_atota,Forgotton Anne,2018-07-23,
semi_dr_atota,Pyre,2017-09-06,
semi_dr_atota,Danganronpa 2: Goodbye Despair,2012-09-26,
shgrady,The Gardens Between,2019-04-02,
shgrady,Bastion,2011-08-10,
shgrady,A Way Out,2018-04-13,
vano-dudu8,Gris,2019-08-18,
vano-dudu8,Dishonored: Definitive Edition,2015-09-21,
vano-dudu8,Portal,2007-10-22,
sensy9,Half-Life,1999-01-21,
shaker023,Batman: The Enemy Within,2017-10-08,
shaker023,Batman: The Enemy Within,2017-10-14,
y-sharapov,1001 Spikes,2015-12-11,
y-sharapov,Dishonored 2,2017-06-17,
ula7,Jet Set Radio,2000-09-24,
ula7,West of Loathing,2017-09-15,
ula7,Armello,2018-10-25,
ula7,Darksiders II,2012-09-30,
ula7,Sky Force Anniversary,2015-06-06,
ula7,Batman: Arkham Knight,2015-09-10,
ula7,Batman: Arkham Origins,2013-11-19,
ula7,Transformers: War for Cybertron,2010-08-06,
ula7,Transformers: Devastation,2016-01-03,
ula7,Lovers In A Dangerous Spacetime,2015-11-30,
ula7,Injustice: Gods Among Us - Ultimate Edition,2013-12-09,
ula7,Sine Mora,2012-05-22,
ula7,Unit 13,2012-05-22,
ula7,Tom Clancy's Rainbow Six: Vegas 2,2008-04-15,
ula7,Danganronpa 2: Goodbye Despair,2012-08-08,
ula7,Blazing Chrome,2020-01-06,
ula7,Strider (2014),2014-02-23,
ula7,A Way Out,2018-04-20,
ula7,Crackdown 3,2019-04-05,
ykovihin,Fe,2019-09-09,
ykovihin,Furi,2016-09-24,
ykovihin,Gris,2019-02-18,
ykovihin,The Gardens Between,2018-11-04,
ykovihin,Spore,2019-09-14,
ykovihin,Layers of Fear,2015-09-26,
ykovihin,Blazing Chrome,2019-08-01,
ykovihin,A Way Out,2018-05-21,
shs531,Bastion,2011-08-06,
shs531,Prince of Persia: The Forgotten Sands,2010-08-08,
shs531,Super Meat Boy,2018-10-30,
shs531,Portal,2007-10-22,
shs531,Portal,2013-10-10,
utesheva08,Half-Life,1999-01-02,
Udelld,12 is Better Than 6,2015-12-01,
Udelld,Half-Life,1998-12-10,
ver-plotnikova,Grid 2,2013-06-07,
sexy_gurlz_6,12 is Better Than 6,2016-02-17,
seryakova1972,Minit,2018-06-04,
shtoina,Half-Life,2004-02-13,
uud402416,Beyond: Two Souls,2013-12-07,
shpili-vililejla,12 is Better Than 6,2016-01-19,
shpili-vililejla,Half-Life 2,2007-02-13,
valea_2010,Super Mega Baseball,2015-02-12,
valea_2010,Super Meat Boy,2010-11-13,
valea_2010,Portal,2007-12-30,
yorkmarina,Half-Life,1998-12-31,
veb-irina,2Dark,2017-04-06,
veb-irina,Gris,2018-12-20,
veb-irina,Oddworld: Stranger's Wrath,2005-02-14,
veb-irina,White Night,2019-08-08,
veb-irina,Prince of Persia: The Forgotten Sands,2010-08-04,
veb-irina,Layers of Fear,2015-09-14,
veb-irina,Dishonored: Definitive Edition,2015-10-01,
veb-irina,Dishonored: Death of the Outsider,2017-11-11,
veb-irina,Dishonored 2,2017-01-12,
vangoh,Transformers: Devastation,2015-12-20,
vangoh,Shovel Knight,2014-08-10,
zubryakov,Last Day of June,2017-11-29,
zubryakov,Injustice: Gods Among Us - Ultimate Edition,2013-11-28,
zubryakov,Danganronpa 2: Goodbye Despair,2012-08-06,
zubryakov,Beyond Eyes,2015-09-07,
zubryakov,Portal,2007-11-04,
sgn,Danganronpa 2: Goodbye Despair,2012-09-24,
tvjurnl,FIFA 17,2016-10-28,
tvjurnl,FIFA 18,2017-12-14,
tvjurnl,Tales of Vesperia: Definitive Edition,2019-01-18,
tvjurnl,Bastion,2011-10-06,
tvjurnl,Heavy Rain,2010-04-25,
tvjurnl,Batman: Arkham Origins,2013-12-26,
tvjurnl,Prince of Persia: The Two Thrones,2005-12-16,
tvjurnl,Injustice: Gods Among Us - Ultimate Edition,2014-02-01,
tvjurnl,Beyond: Two Souls,2016-01-30,
tvjurnl,Danganronpa 2: Goodbye Despair,2012-10-11,
tvjurnl,Portal,2007-10-27,
zamina,Blood & Truth,2019-07-14,
zamina,D4: Dark Dreams Don't Die,2014-09-27,
zamina,Jump Force,2020-01-28,
zamina,VA-11 Hall-A: Cyberpunk Bartender Action,2016-08-21,
zamina,West of Loathing,2017-09-03,
zamina,Atelier Escha & Logy: Alchemists of the Dusk Sky,2013-07-24,
zamina,Atelier Ayesha: The Alchemist of Dusk,2016-06-04,
zamina,Darksiders,2010-01-25,
zamina,Darksiders,2010-03-31,
zamina,Batman: The Enemy Within,2017-10-20,
zamina,Batman: Arkham VR,2016-12-22,
zamina,Batman: The Enemy Within,2017-08-25,
zamina,D4: Dark Dreams Don't Die,2014-09-25,
zamina,The Inpatient,2019-08-20,
zamina,Azure Striker GUNVOLT,2014-10-03,
zamina,Azure Striker Gunvolt 2,2016-09-02,
zamina,Azure Striker Gunvolt 2,2016-11-09,
zamina,Cuphead,2017-12-07,
zamina,Hyperdimension Neptunia U: Action Unleashed,2014-09-09,
zamina,The Amazing Spider-Man (2012),2012-09-16,
zamina,Danganronpa 2: Goodbye Despair,2012-08-08,
zamina,Super Mario Odyssey,2018-01-24,
zamina,Hyperdevotion Noire: Goddess Black Heart,2014-08-03,
zamina,Bloodstained: Ritual of the Night,2020-12-29,
zamina,Crackdown 3,2020-10-27,
valdemircelino,Frostpunk,2018-07-23,
valdemircelino,Beyond: Two Souls,2013-10-14,
valdemircelino,Portal,2007-11-07,
uovx64f_5vbt82s,Erica,2019-09-04,
victorneverov,D4: Dark Dreams Don't Die,2014-10-13,
victorneverov,Gris,2018-12-26,
victorneverov,Minit,2018-05-11,
victorneverov,VA-11 Hall-A: Cyberpunk Bartender Action,2016-07-12,
victorneverov,Wattam,2020-03-04,
victorneverov,West of Loathing,2017-10-14,
victorneverov,Bastion,2020-05-30,
