userID,game,date
sexy_rrr,FIFA 17,2020-11-23 18:42:23
sexy_rrr,Journey,2019-03-22 16:48:06
sexy_rrr,Apex Legends,2020-12-20 19:15:06
sexy_rrr,Naruto Shippuden: Ultimate Ninja Storm Collection,2019-07-16 19:04:05
sexy_rrr,Yo-kai Watch 4,2020-06-01 04:04:31
serg18j,Stardew Valley,2020-12-09 15:36:49
serg18j,Phoenix Wright: Ace Attorney - Spirit of Justice,2019-10-24 08:16:22
serg18j,The Legend of Zelda：Breath of the Wild,2018-08-09 17:13:31
serg18j,Sniper: Ghost Warrior Contracts,2020-04-27 12:17:28
zevkai9,Super Robot Wars OG: The Moon Dwellers,2020-09-10 10:59:47
zevkai9,Tom Clancy's The Division 2,2020-06-09 14:05:23
zevkai9,Dragon Quest XI: Echoes of an Elusive Age,2020-02-01 14:31:57
zevkai9,Guns，Gore&Cannoli,2020-06-03 13:50:43
shroom79,The Last of Us Remastered,2018-08-04 12:30:05
shroom79,The Last of Us Part II,2021-01-14 21:12:23
shroom79,Heavy Rain,2018-12-07 21:47:26
yelenadoronina1981,Ring Run Circus,2020-05-24 01:57:55
yelenadoronina1981,428: Fuusa Sareta Shibuya de,2020-09-08 15:31:32
Xschoolboyx,Untitled Goose Game,2020-01-10 15:26:10
Xschoolboyx,One Piece: Pirate Warriors 3,2020-03-12 19:49:52
Xschoolboyx,Bastion,2019-10-30 18:11:09
Xschoolboyx,Pillars of Eternity 2: Deadfire,2018-11-08 20:05:34
serivera,Bayonetta 2,2020-04-01 20:36:07
serivera,Fire Emblem Echoes: Shadows of Valentia,2019-07-16 06:03:26
serivera,Pokemon Super Mystery Dungeon,2020-10-06 22:59:06
vikagridina,Titanfall 2,2018-12-18 21:16:44
vako98,Watch Dogs 2,2019-01-11 10:38:14
vako98,Mario vs. Donkey Kong: Tipping Stars,2020-04-11 10:44:59
vako98,Planet Zoo,2020-11-26 05:52:33
vako98,Ring Fit Adventure,2020-07-10 21:19:14
vako98,God of War (2018),2018-11-23 05:42:06
shaman133,Valkyria Chronicles 4,2018-09-26 20:10:31
shaman133,Detroit: Become Human,2020-10-10 14:23:03
shaman133,Ori and the Will of the Wisps,2020-04-17 16:13:19
shaman133,Call of Duty 4: Modern Warfare,2019-05-08 17:49:32
shaman133,Detroit: Become Human,2020-01-06 22:57:23
vetauscova,Dragon Quest VIII: Journey of the Cursed King,2020-01-06 16:40:38
vetauscova,A Way Out,2020-03-13 14:30:08
vetauscova,Battlefield 1,2020-10-19 10:25:00
vetauscova,Gravity Rush: Remastered,2020-07-04 13:41:20
vetauscova,Odin Sphere Leifthrasir,2020-03-18 22:11:07
vecherskii,Persona 5,2018-06-20 15:00:25
vecherskii,Judgment (2019),2020-06-06 21:36:20
Shadow24Blade,Dragon Quest Builders,2020-09-24 17:06:16
Shadow24Blade,Ryse: Son of Rome,2019-03-08 16:05:13
Shadow24Blade,Far Cry 5,2019-10-22 12:12:20
Shadow24Blade,Divekick,2020-05-25 19:52:55
vikapaivina,Assassin's Creed: Unity,2020-12-12 21:39:38
vikapaivina,Rainbow Six: Siege,2019-05-31 06:40:35
vikapaivina,Dragon Quest XI: Echoes of an Elusive Age,2020-01-21 19:31:17
vikapaivina,Judgment (2019),2020-01-03 18:56:31
sex66,.hack//G.U. Last Recode,2020-10-09 11:05:33
sex66,Mario + Rabbids Kingdom Battle,2020-05-05 14:56:32
sex66,Metal Gear Solid V: Ground Zeroes,2019-01-26 20:40:05
sex66,Assassins Creed II,2019-05-27 19:06:49
usmanishkulov,The Order: 1886,2020-05-02 19:16:49
usmanishkulov,Atelier Lydie & Suelle: The Alchemists and The Mysterious Paintings,2019-05-19 05:46:09
usmanishkulov,Sid Meier's Civilization VI,2018-06-23 20:25:03
shutskay2015,Hitman (2016),2019-08-03 22:39:36
shutskay2015,Detroit: Become Human,2020-10-08 12:30:30
shutskay2015,Overwatch,2018-10-19 01:53:40
seyyartayyar18,Tomb Raider: Definitive Edition,2020-07-10 04:18:41
