JobName,CompanyName,WorkingArea,Salary
人工智能产业项目管理经理,广州南沙投资咨询有限公司,广州-南沙区,0.8-1万/月
专利工程师（人工智能、智能车方向）,北京龙双利达知识产权代理有限公司,南京-雨花台区,1-1.5万/月
人工智能算法工程师,光魄智能科技（徐州）有限公司,上海,2.5-3万/月
人工智能检测（双休+食宿）,深圳市石湖山水科技有限公司,深圳-龙岗区,4.8-6.8千/月
人工智能/编程老师,东莞市南城新麦培训中心有限公司,东莞-南城区,1-1.5万/月
内勤-设计专业-人工智能开发部,杭州万事利丝绸文化股份有限公司,杭州-上城区,6-8千/月
人工智能项目经理,广州致讯信息科技有限责任公司,广州-黄埔区,1-2万/月
JAVA开发工程师（人工智能）,武汉普罗格集成科技有限公司,武汉-硚口区,1-1.5万/月
人工智能研发工程师,武汉华美生物工程有限公司,武汉,1-2万/月
java开发（外包）-人工智能,大连东软思维科技发展有限公司,上海-长宁区,1-1.5万/月
人工智能算法工程师,上海解颐生物科技有限公司,上海-闵行区,1-2万/月
AI人工智能算法工程师,东莞市找大状互联网技术有限公司,东莞,1.5-2.5万/月
人工智能-算法工程师,杭州芯声智能科技有限公司,杭州,0.8-1万/月
數據標註師 -人工智能/機器學習 (廣東話),苹果贸易(上海)有限公司,上海,
Java开发工程师（人工智能）,湖北普罗劳格科技股份有限公司,武汉-硚口区,1.2-2万/月
贷款抵押客户经理+人工智能,苏州农益晨科技服务有限公司,苏州,1.5-2万/月
人工智能研究院-技术研发,北京世纪互联软件开发有限公司,北京-朝阳区,1-1.5万/月
人工智能家居检测助理/薪资高,邀鹤企业管理咨询（上海）有限公司,深圳-宝安区,4.8-7.6千/月
人工智能产业招商经理,广州国际人工智能产业研究院有限公司,广州-南沙区,4-8千/月
人工智能与开源算法方向科研人员-A01,鹏城实验室,深圳-南山区,3.5-6万/月
（社招）人工智能-机械设计-科研岗-011KY2206-05,南方海洋科学与工程广东省实验室（湛江）,湛江,2-2.5万/月
人工智能(NLP)（合肥）,深圳市宝贝团信息技术有限公司,合肥,3-6万/月
（高级）AI人工智能平台工程师（Python）,北京中星微电子有限公司,上海-浦东新区,2-3万/月
人工智能工程师,福建万福信息技术有限公司,福州-闽侯县,1-1.5万/月
人工智能AI算法工程师/专家,杭州云之鼎数据科技有限公司,杭州-余杭区,2-4万/月
人工智能研发工程师,上海金桥信息股份有限公司,上海-徐汇区,2-3万/月
人工智能资深算法工程师（图像、视频方向）,中星电子股份有限公司,上海-浦东新区,3-4万/月
人工智能工程师,江苏达海智能系统股份有限公司,上海-杨浦区,2-2.5万/月
人工智能（AI）算法工程师,广东工科机电有限公司,佛山,1-1.5万/月
人工智能算法工程师（图像视觉）,深圳中科保泰科技有限公司,深圳,2-4万/月
研发工程师（人工智能),民航成都电子技术有限责任公司,成都,0.9-1.8万/月
人工智能产品销售经理,广州智迈汇科技有限公司,广州-番禺区,1-1.5万/月
研发工程师（人工智能）,深圳智能思创科技有限公司,深圳,1-1.5万/月
销售-人工智能检测,恒意得机器视觉,上海-浦东新区,15-20万/年
人工智能工程师,棣拓（上海）科技发展有限公司,上海-普陀区,2.5-4万/月
人工智能算法工程师,深圳市唯特视科技有限公司,深圳,1.9-3.5万/月
人工智能检测/双休/包住,深圳市华晨鑫科信息咨询有限公司,深圳-宝安区,6-8千/月
人工智能产品助理,陕西恒冶信息技术有限公司,西安-雁塔区,6-8千/月
业务发展经理(AIoT人工智能物联应用市场）,上海怡康化工材料有限公司,上海,35-45万/年
高校ICT培训课程产品经理（人工智能方向）,南京优速网络科技有限公司,南京-江宁区,1.4-2万/月
人工智能产品助理,西安未来云信息科技有限公司,西安-碑林区,4.5-6千/月
人工智能产业协会驻京、驻沪办事处主任,深圳创视智能视觉技术股份有限公司,深圳-南山区,8-9千/月
人工智能算法工程师,深圳华侨城文化旅游科技集团有限公司,深圳-南山区,1.5-3万/月
人工智能,重庆凡事达科技有限公司,重庆-九龙坡区,4.5-9千/月
人工智能训练师-通用AI方向,杭州北冥星眸科技有限公司,杭州-滨江区,5-8千/月
人工智能专家,澳柯玛股份有限公司,青岛-黄岛区,1.5-3万/月
人工智能远程讲座,上海锐格软件有限公司,上海-虹口区,3000元/天
人工智能销售1W+五险一金,杭州青未广告策划有限公司,杭州-萧山区,1.5-2万/月
人工智能（机器人）解决方案销售工程师,深圳昱拓智能有限公司,深圳-龙华区,1-2万/月
外企电销代表(互联网软件/云计算/大数据/人工智能）,智慧芽信息科技（苏州）有限公司,上海,12-25万/年
人工智能销售经理,桂林海威科技股份有限公司,桂林,0.6-1万/月
人工智能算法工程师,南京悦能智能科技有限公司,重庆-九龙坡区,1-1.5万/月
人工智能（AI）研发工程师-福州,中电福富信息科技有限公司,福州,0.6-1.5万/月
人工智能/机械化工程师,四川砼道科技有限公司,成都-双流区,9-15万/年
