JobName,CompanyName,WorkingArea,Salary
算法工程师-深度学习方向,上海帆声图像科技有限公司,上海-浦东新区,1.5-2万/月
深度学习框架开发工程师,上海肇观电子科技有限公司,上海-浦东新区,2-4万/月
高性能深度学习算法开发工程师-A04,鹏城实验室,深圳-南山区,2.5-4万/月
深度学习算法工程师,深圳市安思疆科技有限公司,深圳-南山区,2-4万/月
深度学习算法研发工程师,苏州芯联成软件有限公司,苏州-工业园区,25-50万/年
深度学习算法工程师,杭州律橙电子科技有限公司,杭州,1-1.5万/月
深度学习算法工程师,浙江杜比医疗科技有限公司,杭州-萧山区,1.5-3万/月
深度学习/医学图像算法工程师,杭州脉流科技有限公司,杭州,2-4万/月
深度学习算法工程师,无锡尚实电子科技有限公司,无锡-惠山区,1.5-2.5万/月
深度学习软件工程师,深圳市汉凯科技有限公司,深圳-光明区,1-1.5万/月
深度学习工程师,无锡复江自动化有限公司,无锡-滨湖区,0.8-1.6万/月
深度学习CV,千巡科技（深圳）有限公司,深圳-宝安区,1.7-3.3万/月
深度学习图像算法工程师,广州市易鸿智能装备有限公司,广州-番禺区,1.5-2.5万/月
深度学习算法工程师,北京中星微电子有限公司,上海-闵行区,1.5-2万/月
算法工程师（深度学习）,杭州俊元千成人力资源有限公司,杭州-萧山区,2.5-5万/月
深度学习算法工程师,深慧视（深圳）科技有限公司,深圳-南山区,2.2-2.8万/月
深度学习工程师,深圳市智信精密仪器股份有限公司,深圳-龙华区,1.5-3万/月
深度学习算法工程师,南京悦能智能科技有限公司,重庆-九龙坡区,0.8-1.5万/月
视觉深度学习算法专家,苏州杰锐思智能科技股份有限公司,苏州-吴中区,1-1.5万/月
深度学习软件工程师,杭州雄迈集成电路技术股份有限公司,杭州,0.6-1.2万/月
深度学习平台工程师(011607),vivo,深圳-福田区,2.5-5万/月
AI语音算法（深度学习方向）,杭州国芯科技股份有限公司,杭州,2-3万/月
深度学习工程师,万勋科技（深圳）有限公司,深圳,2-3万/月
深度学习高级算法工程师,盛视科技股份有限公司,深圳-福田区,4-7万/月
RD-深度学习算法移植优化工程师,TCL集团工业研究院,西安-高新技术产业开发区,1.5-2万/月
深度学习算法工程师,深圳精创视觉科技有限公司,深圳-龙华区,2.5-3.5万/月
深度学习软件工程师（苏州）,惠州高视科技有限公司,苏州,1.5-2.5万/月
深度学习工程师,广州市幸福网络技术有限公司,广州-天河区,0.6-1.2万/月
深度学习模型加速工程师,上海湃道智能科技有限公司,上海-杨浦区,3-4万/月
深度学习高级开发工程师,音赛科技（上海）有限公司,上海-浦东新区,1.5-4万/月
深度学习算法工程师,诸葛驾到（深圳）科技有限公司,深圳-南山区,2-4万/月
深度学习工程师,大连维德集成电路有限公司,大连-高新园区,1-1.7万/月
深度学习算法工程师,亮风台（上海）信息科技有限公司,上海-浦东新区,3-4万/月
深度学习-解决方案架构师(SA),深圳中电港技术股份有限公司,北京-海淀区,35-70万/年
深度学习算法工程师,深圳市自行科技有限公司,武汉-东湖新技术产业开发区,1.5-2.5万/月
深度学习图像算法工程师,上海互教教育科技有限公司,上海-浦东新区,1.8-3.5万/月
算法工程师（深度学习）,昂纳信息技术（深圳）有限公司,深圳-坪山区,2-3万/月
深度学习工程师,上海元易勘测设计有限公司,上海-浦东新区,2-4万/月
深度学习SDK开发工程师,翱捷科技（上海）有限公司,上海-浦东新区,
深度学习算法工程师,上海西井信息科技有限公司,上海-长宁区,2-2.5万/月
深度学习算法工程师,北京英特美迪科技有限公司,北京-海淀区,2.5-5万/月
深度学习算法工程师,佳都科技集团股份有限公司,广州-番禺区,1-1.6万/月
深度学习算法工程师,南京讯汇科技发展有限公司,常州-新北区,10-20万/年
深度学习算法工程师 (MJ000025),上海宏景智驾信息科技有限公司,上海-嘉定区,1.7-3.3万/月
深度学习工程师,赛诺联合医疗科技（北京）有限公司,北京-海淀区,2-3.5万/月
深度学习算法工程师,成都家有为力机器人技术有限公司,成都-高新区,1.5-3万/月
深度学习算法工程师（C++方向）,武汉珞珈新空科技有限公司,武汉-洪山区,1.5-2.5万/月
深度学习算法工程师,北京卓视智通科技有限责任公司,南京-玄武区,1.2-2.4万/月
深度学习算法工程师,深圳市安软科技股份有限公司,天津-河西区,1.5-1.8万/月
高级程序研究员（深度学习）,福建网龙计算机网络信息技术有限公司,福州,25-40万/月
深度学习工程师,上海欧普泰科技创业股份有限公司,上海-普陀区,2.5-3万/月
图像处理算法工程师（深度学习方向）,上海贝特威自动化科技有限公司,上海-闵行区,2.5-3.5万/月
高级深度学习算法工程师1177,凌云光技术股份工业视觉事业部,北京-海淀区,4-5万/月
算法工程师（深度学习）,苏州迅镭激光科技有限公司,苏州-工业园区,1.8-3万/月
深度学习算法工程师,深圳市深视创新科技有限公司,深圳-南山区,2-3万/月
深度学习算法工程师,南京云创大数据科技股份有限公司,南京-秦淮区,1.4-2万/月
算法工程师 目标检测 深度学习 数学建模 图像算法,武汉光谷信息技术股份有限公司,武汉-洪山区,1-1.5万/月
深度学习框架/算法实现,赛昉科技,上海-浦东新区,2-5万/月
深度学习工程师,深圳德技创新实业有限公司,深圳-南山区,1.7-2.3万/月
深度学习算法加速工程师,湖南国科微电子股份有限公司,长沙,2-4万/月
深度学习研发工程师,凯通科技股份有限公司,广州-黄埔区,1.2-2.5万/月
深度学习算法工程师,双镜智能（杭州）有限公司,杭州-滨江区,1.8-3万/月
深度学习算法工程师,广州深声科技有限公司,广州-天河区,1.5-3万/月
深度学习工程师,南京鑫和汇通电子科技有限公司,南京-浦口区,0.8-1.6万/月
深度学习算法工程师,北京煜邦电力技术股份有限公司,北京-朝阳区,1.5-2.5万/月
深度学习工程师（能源环保）,中国科学院云计算中心,东莞-松山湖区,0.6-1万/月
深度学习工程师,长沙万为机器人有限公司,长沙,1.5-2万/月
图像处理算法工程师（深度学习方向）,上海施努卡工业自动化有限公司,苏州,2-3.5万/月
深度学习算法工程师,武汉高德飞行器科技有限公司,武汉-洪山区,0.8-1.8万/月
深度学习工程师,中兴新通讯有限公司,深圳,1.5-2.5万/月
深度学习算法工程师,苏州中科全象智能科技有限公司,苏州-工业园区,1.5-2万/月
深度学习研发工程师,北京科基中意软件开发有限公司,北京-海淀区,1.5-2万/月
图像算法工程师（医疗领域/深度学习/人工智能）,上海北昂医药科技股份有限公司,上海-宝山区,20-40万/年
深度学习工程师-帝派,北京神州泰岳软件股份有限公司,北京,1-1.5万/月
AI深度学习算法工程师,熵智科技（深圳）有限公司,武汉-江夏区,1.5-2.5万/月
视觉算法/深度学习/算法工程师,南京芸皓智能建筑科技有限公司,镇江-句容市,1.5-3万/月
