userID,game,date,平台
chygrynsky,Portal,2007-12-23,
yakumomo,Hey! Pikmin,2017-08-13,
yakumomo,Forgotton Anne,2018-07-23,
yakumomo,Pyre,2017-09-06,
yakumomo,Danganronpa 2: Goodbye Despair,2012-09-26,
waqeed,The Gardens Between,2019-04-02,
waqeed,Bastion,2011-08-10,
waqeed,A Way Out,2018-04-13,
psxsquall,Gris,2019-08-18,
psxsquall,Dishonored: Definitive Edition,2015-09-21,
psxsquall,Portal,2007-10-22,
wyiwyi,Half-Life,1999-01-21,
ProCNR,Batman: The Enemy Within,2017-10-08,
ProCNR,Batman: The Enemy Within,2017-10-14,
Traqie,1001 Spikes,2015-12-11,
Traqie,Dishonored 2,2017-06-17,
Tangerz,Jet Set Radio,2000-09-24,
Tangerz,West of Loathing,2017-09-15,
Tangerz,Armello,2018-10-25,
Tangerz,Darksiders II,2012-09-30,
Tangerz,Sky Force Anniversary,2015-06-06,
Tangerz,Batman: Arkham Knight,2015-09-10,
Tangerz,Batman: Arkham Origins,2013-11-19,
Tangerz,Transformers: War for Cybertron,2010-08-06,
Tangerz,Transformers: Devastation,2016-01-03,
Tangerz,Lovers In A Dangerous Spacetime,2015-11-30,
Tangerz,Injustice: Gods Among Us - Ultimate Edition,2013-12-09,
Tangerz,Sine Mora,2012-05-22,
Tangerz,Unit 13,2012-05-22,
Tangerz,Tom Clancy's Rainbow Six: Vegas 2,2008-04-15,
Tangerz,Danganronpa 2: Goodbye Despair,2012-08-08,
Tangerz,Blazing Chrome,2020-01-06,
Tangerz,Strider (2014),2014-02-23,
Tangerz,A Way Out,2018-04-20,
Tangerz,Crackdown 3,2019-04-05,
adrizg,Fe,2019-09-09,
adrizg,Furi,2016-09-24,
adrizg,Gris,2019-02-18,
adrizg,The Gardens Between,2018-11-04,
adrizg,Spore,2019-09-14,
adrizg,Layers of Fear,2015-09-26,
adrizg,Blazing Chrome,2019-08-01,
adrizg,A Way Out,2018-05-21,
n_wist,Bastion,2011-08-06,
n_wist,Prince of Persia: The Forgotten Sands,2010-08-08,
n_wist,Super Meat Boy,2018-10-30,
n_wist,Portal,2007-10-22,
n_wist,Portal,2013-10-10,
Spamlynguist,Half-Life,1999-01-02,
Scientist,12 is Better Than 6,2015-12-01,
Scientist,Half-Life,1998-12-10,
Yaerius,Grid 2,2013-06-07,
IMMENSEMOUNTAIN,12 is Better Than 6,2016-02-17,
jilipop,Minit,2018-06-04,
wolo777,Half-Life,2004-02-13,
Goku14,Beyond: Two Souls,2013-12-07,
alpal,12 is Better Than 6,2016-01-19,
alpal,Half-Life 2,2007-02-13,
Albrado,Super Mega Baseball,2015-02-12,
Albrado,Super Meat Boy,2010-11-13,
Albrado,Portal,2007-12-30,
RikkiUW,Half-Life,1998-12-31,
aftereight88,2Dark,2017-04-06,
aftereight88,Gris,2018-12-20,
aftereight88,Oddworld: Stranger's Wrath,2005-02-14,
aftereight88,White Night,2019-08-08,
aftereight88,Prince of Persia: The Forgotten Sands,2010-08-04,
aftereight88,Layers of Fear,2015-09-14,
aftereight88,Dishonored: Definitive Edition,2015-10-01,
aftereight88,Dishonored: Death of the Outsider,2017-11-11,
aftereight88,Dishonored 2,2017-01-12,
hwchugh,Transformers: Devastation,2015-12-20,
hwchugh,Shovel Knight,2014-08-10,
TempeteJoachim,Last Day of June,2017-11-29,
TempeteJoachim,Injustice: Gods Among Us - Ultimate Edition,2013-11-28,
TempeteJoachim,Danganronpa 2: Goodbye Despair,2012-08-06,
TempeteJoachim,Beyond Eyes,2015-09-07,
TempeteJoachim,Portal,2007-11-04,
leekwavers,Danganronpa 2: Goodbye Despair,2012-09-24,
MetallicFever316,FIFA 17,2016-10-28,
MetallicFever316,FIFA 18,2017-12-14,
MetallicFever316,Tales of Vesperia: Definitive Edition,2019-01-18,
MetallicFever316,Bastion,2011-10-06,
MetallicFever316,Heavy Rain,2010-04-25,
MetallicFever316,Batman: Arkham Origins,2013-12-26,
MetallicFever316,Prince of Persia: The Two Thrones,2005-12-16,
MetallicFever316,Injustice: Gods Among Us - Ultimate Edition,2014-02-01,
MetallicFever316,Beyond: Two Souls,2016-01-30,
MetallicFever316,Danganronpa 2: Goodbye Despair,2012-10-11,
MetallicFever316,Portal,2007-10-27,
modaren,Blood & Truth,2019-07-14,
modaren,D4: Dark Dreams Don't Die,2014-09-27,
modaren,Jump Force,2020-01-28,
modaren,VA-11 Hall-A: Cyberpunk Bartender Action,2016-08-21,
modaren,West of Loathing,2017-09-03,
modaren,Atelier Escha & Logy: Alchemists of the Dusk Sky,2013-07-24,
modaren,Atelier Ayesha: The Alchemist of Dusk,2016-06-04,
