JobName,CompanyName,WorkingArea,Salary
数据挖掘工程师（数据分析师）,广州市博汇数码科技有限公司,广州,1.2-2.4万/月
数据挖掘工程师,浙江省农信联社,杭州-萧山区,20-40万/年
数据挖掘工程师,中国光大银行股份有限公司黑龙江分行,哈尔滨,5-8千/月
BK43D4-数据挖掘师,平安银行股份有限公司,深圳-福田区,20-30万/年
数据挖掘工程师,银联智惠信息服务（上海）有限公司,上海-浦东新区,1.5-2万/月
数据挖掘工程师,杭州落英网络科技有限公司,杭州-西湖区,3-4万/月
数据挖掘工程师,宁波鄞银金融科技有限责任公司,宁波-鄞州区,0.8-1.3万/月
数据挖掘工程师(J10892),上海网鱼信息科技有限公司,上海,1.5-2万/月
数据挖掘工程师,益客集团,上海-青浦区,2-3万/月
数据挖掘工程师,浙江由由科技有限公司,杭州-余杭区,2-3万/月
数据挖掘工程师,易诚博睿（南京）科技有限公司,深圳,1.5-2万/月
数据挖掘工程师（中级）,上海网波软件股份有限公司,上海-杨浦区,8-9千/月
数据挖掘工程师,上海思舶信息技术有限公司,上海-徐汇区,1.3-1.6万/月
高级数据挖掘专家(007764)(012369),vivo,深圳-福田区,4-7万/月
大数据分析/挖掘工程师,爬山虎,青岛,0.6-1.2万/月
数据挖掘工程师,深圳市宝润兴业互联网信息服务有限公司,上海-徐汇区,2-3万/月
生物信息数据挖掘架构师,至本医疗科技（上海）有限公司,上海-闵行区,2-3万/月
数据挖掘工程师,重庆斐邦科技有限公司,重庆-九龙坡区,4.5-9千/月
数据分析师/数据挖掘（石景山办公区）,立信会计师事务所（特殊普通合伙）-北京分所,北京-石景山区,1-1.5万/月
数据挖掘,威讯柏睿数据科技（北京）有限公司,北京-朝阳区,1.2-2.4万/月
数据挖掘工程师,武汉镭立信息科技有限公司,武汉-洪山区,1-1.8万/月
数据挖掘工程师,中国医药工业信息中心,上海-静安区,1.5-2万/月
数据挖掘工程师/数据科学家,比亚迪股份有限公司,西安-高新技术产业开发区,1.5-3万/月
FBS(数据挖掘工程师),深圳市真迈生物科技有限公司,深圳-罗湖区,1-2万/月
高级/资深数据挖掘工程师 (MJ004788),SHEIN,深圳-南山区,2-3.5万/月
数据挖掘工程师,深圳华策辉弘科技有限公司,深圳-福田区,1.5-2.5万/月
数据挖掘工程师,深圳市华云中盛科技股份有限公司,北京-朝阳区,2.5-3.5万/月
SQL数据挖掘工程师 (MJ000147),北京万方数据股份有限公司,北京,1.5-2.5万/月
数据分析挖掘工程师,中国科学院计算机网络信息中心,北京,1.5-2万/月
数据挖掘工程师,深圳市世联土地房地产评估有限公司,深圳-福田区,2-3.5万/月
初级数据挖掘工程师,睿尔博汽车信息服务（北京）有限公司,北京-朝阳区,6-8千/月
数据挖掘工程师,云南蓝典科技股份有限公司,昆明-五华区,0.6-1.5万/月
数据挖掘工程师,深圳微众信用科技股份有限公司,深圳,1.5-3万/月
数据挖掘应用分析项目经理,致同会计师事务所,北京-朝阳区,0.8-1万/月
数据挖掘工程师,广州市茶滘置业发展有限公司,广州-荔湾区,5-8千/月
数据挖掘工程师,四川神琥实业有限公司,成都-天府新区,0.8-1.6万/月
高级机器学习/数据挖掘工程师,南京华苏科技有限公司,南京-雨花台区,1.5-2.5万/月
数据挖掘工程师,上海柯林布瑞信息技术有限公司,青岛,1-2万/月
数据分析与挖掘工程师,上海集成电路装备材料产业创新中心有限公司,上海,30-50万/年
数据挖掘专家,上海悦调科技有限公司,上海-浦东新区,4-5万/月
内聘-数据挖掘工程师助理,深圳市竟为机电设备工程有限公司,深圳-宝安区,6.5-9.5千/月
数据挖掘工程师,天道金科股份有限公司,杭州-拱墅区,1.5-2.7万/月
数据挖掘算法工程师,盛视科技股份有限公司,武汉-洪山区,1.5-3万/月
算法工程师（数据挖掘）,广州市申迪计算机系统有限公司,广州-越秀区,1-2万/月
