JobName,CompanyName,WorkingArea,Salary
算法工程师 (机器学习)(004941),上海家化联合股份有限公司,上海,2-3.5万/月
机器学习专家,上海细胞治疗集团有限公司,上海-嘉定区,5-7万/月
机器学习算法工程师,南京四象新能源科技有限公司,南京-江宁区,1.8-3万/月
机器学习算法工程师,天宇正清科技有限公司,郑州-管城回族区,1.3-1.8万/月
机器学习开发工程师,上海色宁信息科技有限公司,上海-虹口区,2.5-4万/月
图像处理与机器学习工程师,杭州乔戈里科技有限公司,杭州,1.3-2万/月
机器学习工程师,合肥本源量子计算科技有限责任公司,合肥-高新区,1.3-2.5万/月
算法工程师-机器学习方向,深圳市易流科技股份有限公司,西安-高新技术产业开发区,1.5-2.5万/月
机器学习工程师,杭州书微信息科技有限公司,杭州-西湖区,0.8-1.5万/月
机器学习算法专家,贪玩游戏,广州-天河区,2.5-5万/月
机器学习工程师,威胜集团有限公司,长沙-岳麓区,1.5-2万/月
机器学习科学家-蛋白质设计,杭州嘉因生物科技有限公司,杭州-江干区,20-30万/年
机器学习工程师,中国医药工业信息中心,上海-静安区,15-20万/年
机器学习平台开发工程师（python/c++）,中国移动通信有限公司研究院,北京,1.5-3万/月
机器学习工程师,广州数说故事信息科技有限公司,广州-天河区,1.8-3万/月
数字化工业 机器学习工程师(数据算法) 工业方向,西门子（中国）有限公司Siemens Ltd. China,上海,
算法工程师（机器学习方向）,广州华微明天软件技术有限公司,广州,1-2万/月
机器学习与大数据智能处理算法工程师,中国科学院计算机网络信息中心,北京,1.5-2万/月
机器学习工程师,云南蓝典科技股份有限公司,昆明-五华区,0.6-1.5万/月
机器学习算法工程师-CDBCS05,网思科技股份有限公司,成都-武侯区,1.5-2万/月
高级机器学习算法工程师,赛诺联合医疗科技（北京）有限公司,北京-海淀区,2-4万/月
高级机器学习/数据挖掘工程师,南京华苏科技有限公司,南京-雨花台区,1.5-2.5万/月
机器学习算法工程师（图像方面）,大连明日星科技有限公司,大连,1-2万/月
机器学习算法工程师,杭州云戒科技有限公司,杭州-余杭区,1.2-2.5万/月
机器学习开发软件工程师,厦门华联电子股份有限公司,厦门,1.2-1.8万/月
机器学习工程师,江苏超流信息技术有限公司,合肥-蜀山区,0.9-2.5万/月
机器学习工程师,上海互问信息科技有限公司,上海-浦东新区,1.5-3万/月
HT2828-机器学习算法工程师,翼健（上海）信息科技有限公司,北京-海淀区,1.3-2.6万/月
机器学习推理平台工程师,美团,上海-长宁区,3-4万/月
机器学习研究员,维音数码（上海）有限公司,上海-浦东新区,2.5-4万/月
机器学习算法工程师,浙江一木智能科技有限公司,宁波-鄞州区,1-1.7万/月
机器学习算法储备岗,深圳市诺维尔科技互联网有限公司,深圳-龙岗区,0.8-1万/月
算法工程师（机器学习自然语言处理）,上海外语教育出版社有限公司,上海,2.5-4万/月
机器学习算法工程师,上海朱光亚战略科技研究院,上海-浦东新区,30-55万/年
机器学习工程师,珠海爱浦京软件股份有限公司,深圳,2-4万/月
机器学习工程师,新希望六和股份有限公司,成都,18-25万/年
大数据-机器学习和数据挖掘方向,深圳市天宇鸿通网络科技有限公司,杭州-滨江区,1.5-3万/月
机器学习中高级工程师,重庆炬坤新能源开发有限公司,重庆,1.2-2.4万/月
机器学习算法工程师(TA0003),万得信息技术股份有限公司（Wind资讯）,南京,1.5-3万/月
机器学习/数据建模工程师,上海伍贤信息技术股份有限公司,上海-浦东新区,1.5-2.5万/月
机器学习算法工程师,深圳市昇润科技有限公司,深圳-南山区,3-4万/月
大数据及机器学习工程师,上海汽车资产经营有限公司,上海-虹口区,20-40万/年
机器学习工程师,上海鼎经自动化科技股份有限公司,上海-宝山区,2-2.5万/月
机器学习算法工程师（2年以上机器视觉相关经验）,上海凯景信息技术有限公司,上海-普陀区,2-2.5万/月
机器学习工程师,苏州凯普斯企业管理咨询有限公司,苏州,2-2.5万/月
PT30200201-机器学习算法工程师,深圳博沃智慧科技有限公司,武汉-武昌区,0.8-1.8万/月
算法工程师（机器学习方向）,汉谷云智（武汉）科技有限公司,武汉-洪山区,10-20万/年
机器学习技术应用工程师,上海电气中央研究院,上海-静安区,1-2万/月
阿里云智能事业群-算法专家-IoT机器学习,阿里巴巴集团,杭州,
机器学习工程师(J10233),深圳华锐金融技术股份有限公司,上海,1.4-2.8万/月
AI-Lab机器学习算法引擎研发工程师 —语音方向,字节跳动,深圳,3-6万/月
前端开发工程师-机器学习平台--4268,爱奇艺（www.iqiyi.com）,北京-海淀区,3.5-4万/月
机器学习工程师,伯恩光学（惠州）有限公司,惠州,1.5-2.5万/月
机器学习平台研发工程师,长威信息科技发展股份有限公司,福州,1.2-1.8万/月
机器学习工程师,北京公瑾科技有限公司广州分公司（慧算账）,广州-天河区,1.5-2万/月
机器学习算法工程师,上海玳鸽信息技术有限公司,上海-杨浦区,2-2.5万/月
机器学习/爬虫数据8k起包住,深圳抖屏科技有限公司,深圳-宝安区,0.8-1万/月
机器学习工程师,中关村科技软件股份有限公司,北京,1.5-2万/月
机器学习工程师,武汉东方赛思软件股份有限公司,武汉-江岸区,10-12万/年
机器学习算法工程师,瑞芯微电子股份有限公司,上海-浦东新区,2-4万/月
机器学习算法工程师/高级工程师,广州小鹏汽车科技有限公司,广州-天河区,2-4万/月
算法工程师\机器学习,南京讯之智信息技术有限公司,南京,1-1.5万/月
机器学习工程师,“前程无忧”51job.com（光谷）,武汉-东湖新技术产业开发区,1-1.5万/月
计算机视觉和机器学习工程师,北京三星通信技术研究有限公司,北京-朝阳区,1.5-2.5万/月
